loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,frequency_count,total_flights_booked,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_cost_redeemed,first_year,last_year,active_years,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,active_member
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,24,132,39,51877,5224.44,1418,115,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,71960.0,Divorced,Star,3839.61,Standard,2016,3,,,24,190,25,41578,4176.04,1971,159,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,71960.0,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,24,66,21,19664,1963.0,374,30,2017,2018,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,False
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,71960.0,Single,Star,3839.75,Standard,2013,2,,,24,123,36,36043,3626.68,1291,105,2017,2018,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,24,132,44,36840,3689.68,0,0,2017,2018,2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,48,292,54,83996,8464.16,1222,99,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,71960.0,Single,Star,3857.95,Standard,2014,6,,,24,143,25,48292,4880.8,1583,128,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,24,144,41,41278,4177.92,733,59,2017,2018,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,24,91,33,34878,3529.04,1516,123,2017,2018,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,True
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,24,149,45,33622,3413.24,1683,137,2017,2018,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,24,167,38,43277,4349.24,499,40,2017,2018,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,24,114,38,37760,3817.36,1599,130,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,,24,86,22,25268,2572.84,436,35,2017,2018,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,True
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,71960.0,Single,Star,3871.07,Standard,2013,10,,,24,204,62,55956,5643.96,1190,96,2017,2018,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
